E07000217,32121,38718,x,16162,19289,21745,27229,37822,46646,49334,x,x
E10000032,27895,32469,x,x,18301,21156,24871,32727,38311,41669,46159,x
E07000223,28029,30456,7866,x,x,x,x,31276,x,x,x,x
E07000224,x,x,x,x,x,x,x,x,x,x,x,x
E07000225,x,27864,x,x,x,x,x,x,x,x,x,x
E07000226,35315,40995,12365,21639,24098,26273,29753,39545,46572,50098,53144,x
E07000227,26915,29854,x,x,x,x,24324,31549,35750,x,x,x
E07000228,x,35458,x,x,x,x,x,x,x,x,x,x
E07000229,25919,30041,8409,12232,16847,20063,22719,30178,35945,38806,42299,x
E12000009,27993,31817,9658,15769,18521,20778,24416,32322,37390,40634,43940,55232
E06000022,29186,33231,8266,15188,18589,21350,25000,33482,38527,42240,45525,x
E06000058,27903,32071,9794,16197,19089,21218,24853,31778,36683,40566,44465,x
E06000023,32013,36099,11467,19488,22376,24105,27549,36504,42087,44534,48162,63527
E06000059,26182,31211,8801,14345,17121,20131,23004,30000,34991,39099,41907,x
E06000024,26699,29201,8919,15419,18199,20772,23634,31104,34689,37218,40728,x
E06000026,28626,30195,9936,16485,18928,21194,24223,32427,36439,39128,42357,x
E06000025,34302,37472,10608,18046,21380,23953,29273,40593,45088,47326,53536,63434
E06000030,31842,36311,11792,18142,20725,23438,27070,36247,x,45302,x,x
E06000027,22965,25378,9023,13404,16168,17867,20468,26020,29521,31872,35161,x
E06000052,25657,27898,9538,14236,16523,18467,22030,29495,33749,36568,39518,x
E06000053,x,x,x,x,x,x,x,x,x,x,x,x
E06000054,28056,31421,x,15584,18670,21364,24085,32823,36714,39487,42199,x
E10000008,25421,28532,x,14162,16887,18844,22368,29178,33460,36363,39871,x
E07000040,26235,30652,10185,15541,x,x,x,x,x,x,x,x
E07000041,26864,30370,x,x,x,x,x,31490,x,x,x,x
E07000042,24848,28548,8525,12341,14662,16366,20795,27913,33063,x,x,x
E07000043,x,x,x,x,x,x,x,x,x,x,x,x
E07000044,23516,26390,x,12696,14282,16459,20953,27145,30184,32136,x,x
E07000045,23608,27057,10549,15696,16960,18101,21519,27060,30297,32774,x,x
E07000046,x,x,x,x,x,x,x,x,x,x,x,x
E07000047,24105,27301,x,x,x,17340,20254,x,x,x,x,x
E10000013,28154,32925,9301,16286,19104,21011,24551,32535,38664,41303,45918,57587
E07000078,29328,33418,9084,14704,18230,20971,25848,33839,39480,41870,x,x
E07000079,24905,29727,x,14223,17342,18416,21637,28208,31655,x,x,x
E07000080,24549,29506,x,x,16389,19021,21331,28615,x,x,x,x
E07000081,26481,31912,7735,14793,17782,19819,23350,30856,37826,40904,44665,x
E07000082,30813,33835,12929,19504,22050,23235,26077,36044,42176,45133,47782,x
E07000083,31420,37417,x,19981,22776,24869,27825,35935,41012,45677,x,x
E06000066,25975,29151,x,13379,16445,18706,22950,29489,34919,37540,41372,x
W92000004,27372,29948,9879,15553,18412,20636,23978,31199,36130,39141,42018,50361
W06000001,28075,28943,x,x,16104,19970,23018,31354,36465,x,x,x
W06000002,24363,27891,9159,12926,15616,17467,21390,27907,33769,36311,39592,x
W06000003,24079,26340,x,12076,14953,18374,21374,27025,32533,34982,39493,x
W06000004,25762,26398,7965,12969,15416,17530,21892,28928,32685,34239,36104,x
W06000005,27700,31729,11986,18499,20062,21737,25050,32931,40136,42181,44382,x
W06000006,28198,30615,11026,17744,20073,21753,24996,32063,36433,40623,42471,x
W06000023,26017,27476,11504,16313,17184,18422,22994,28737,31873,34524,38296,x
W06000008,24114,27828,8500,11694,15413,17072,22719,28271,32077,36292,40084,x
W06000009,24949,27444,x,12728,14573,17153,20368,29463,32882,36599,40817,x
W06000010,x,28715,x,x,x,x,x,x,x,x,x,x
W06000011,26882,28943,9059,14747,18196,19947,23356,31205,35527,37530,41108,x
W06000012,29730,30853,11914,16107,18613,20562,24632,34552,40224,42134,44855,x
W06000013,27325,29431,8064,14674,18069,19878,24238,31520,36027,38822,41574,x
W06000014,23194,25258,x,11532,13991,15869,19936,25085,30105,34303,x,x
W06000015,30706,34785,12625,20211,22336,24006,27369,34480,39683,42998,47089,x
W06000016,26614,29225,7819,14778,17384,19530,23531,30745,35114,37413,40749,x
W06000024,23713,24388,x,12676,14805,16162,21062,27133,28771,29723,x,x
W06000018,x,28140,x,x,x,x,x,x,x,x,x,x
W06000019,26415,29692,x,x,x,19672,22947,29021,33648,x,x,x
W06000020,x,30754,10798,16634,x,x,x,x,x,x,x,x
W06000021,26775,29175,x,12683,14822,19119,23056,32116,37639,40132,42727,x
W06000022,26345,28404,11233,15022,17108,20238,23164,28930,33964,37837,39806,x
S92000003,29464,33268,10195,16608,19511,21856,25620,34314,39577,42324,45478,56181
S12000033,33319,37127,12706,19812,22808,24708,28626,37765,42623,45481,50036,x
S12000034,26724,30082,7841,13134,15586,18813,22867,30996,37012,39601,42264,x
S12000041,26604,29857,8879,13803,16424,18970,23299,30690,36702,39824,44884,x
S12000035,25719,29064,9318,13130,15406,16875,22127,30486,37200,38606,x,x
S12000005,27023,27559,x,15013,17294,20034,24008,29772,33425,34457,x,x
S12000006,25563,27100,8065,13136,16567,18812,22411,28395,33355,35760,38335,x
S12000042,29373,32359,11751,20006,21731,22952,26004,33584,36961,41495,45136,x
